row_id,first_author,year,journal,doi,notes,material_system,dopant_element,dopant_concentration_at_pct,crystal_phase,film_thickness_nm,ald_substrate_temp_C,precursor_type_Hf,oxidant_type,ald_cycle_count,precursor_dose_time_s,purge_time_precursor_s,oxidant_dose_time_s,purge_time_oxidant_s,chamber_base_pressure_Torr,co_precursor_dopant_flow_pct,plasma_power_W,growth_rate_A_per_cycle,anneal_temp_PDA_C,anneal_duration,anneal_atmosphere,anneal_ramp_rate_C_per_s,thermal_budget_C_s,PMA_temp_C,electrode_cap_material,IL_SiO2_thickness_nm,film_stress_GPa,FGA_temp_C,substrate_material,substrate_orientation,IL_type,IL_thickness_nm,top_electrode_material,top_electrode_thickness_nm,substrate_doping_type,substrate_doping_cm3,total_physical_thickness_nm,EOT_nm,device_area_cm2,k_dielectric_constant,capacitance_density_fF_um2,V_fb_V,V_th_V,freq_dispersion_dk_df_pct,TCk_ppm_C,loss_tangent_tan_delta,remnant_polarization_Pr_uC_cm2,coercive_field_Ec_MV_cm,J_g_A_cm2_at_1V,E_BD_MV_cm,TDDB_lifetime_years,Weibull_beta,SILC_stable,Q_BD_C_cm2,trap_gen_rate_dNT_cm2,O_vacancy_density_cm3,phase_stability,D_it_cm2_eV,Q_f_cm2,Q_m_cm2,delta_EV_eV,delta_EC_eV,IL_oxide_thickness_nm,N_at_interface_at_pct,carrier_mobility_cm2_Vs,delta_Vth_mV,measured_property,measured_value,k_curation_status,k_curation_comment
1,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 85C; amorphous phase,HfO2,,0,amorphous,100.0,85,TDMAH,H2O,,,,,,,,,1.6,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,19.8,185.0,-1.4,,,,,,,2e-6,1.0,,,,,,,stable,,1500000000000.0,,,,,,,,,,valid_k,
2,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 100C; polycrystalline monoclinic+orthorhombic,HfO2,,0,monoclinic+orthorhombic,100.0,100,TDMAH,H2O,,,,,,,,,1.5,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,20.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,valid_k,
3,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 200C; polycrystalline monoclinic dominant,HfO2,,0,monoclinic,100.0,200,TDMAH,H2O,,,,,,,,,1.3,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,22.5,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,valid_k,
4,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 300C; well-crystallized monoclinic,HfO2,,0,monoclinic,100.0,300,TDMAH,H2O,,,,,,,,,1.2,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,25.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,valid_k,
5,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 350C; highly crystalline monoclinic; highest k,HfO2,,0,monoclinic,100.0,350,TDMAH,H2O,,,,,,,,,1.2,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,30.5,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,valid_k,
6,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/NH3-H2O 300C; N-incorporation enhances k,HfO2,,0,monoclinic,100.0,300,TDMAH,NH3_H2O,,,,,,,,,1.2,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,28.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,valid_k,
7,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,Al2O3/HfO2/Al2O3 5/90/5nm nanolaminate; improved leakage,HfO2/Al2O3_nanolaminate,,0,amorphous,100.0,85,TDMAH,H2O,,,,,,,,,,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,19.0,160.0,1.9,,,,,,,1e-8,4.0,,,,,,,stable,,-2000000000000.0,,,,,,,,,,valid_k,
8,Zhang,2021,Atlantis Press Proc,,HfAlO ALD annealed at 650C N2; Al:Hf~1:9,HfAlO,Al,10,tetragonal+amorphous,10.0,300,TEMAH+TMA,H2O,100,,,,,,10,,1.0,650.0,30s,N2,50.0,32500.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,0.84,,23.5,,,,,,,,,6.8e-10,,,,,,,,stable,1250000000000.0,,,,,0.5,,,,,,valid_k,
9,Wang,2019,MDPI Micromachines,10.3390/mi10060361,Pure HfO2 reference; before Al doping,HfO2,,0,monoclinic,10.0,300,TEMAH,H2O,100,,,,,,0,,1.0,600.0,30s,N2,,,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,,,16.64,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,valid_k,
10,Wang,2019,MDPI Micromachines,10.3390/mi10060361,HfAlO Al:Hf=1:9; tetragonal phase stabilized; highest k,HfAlO,Al,10,tetragonal,10.0,300,TEMAH+TMA,H2O,90+10,,,,,,10,,1.0,600.0,30s,N2,,,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,,,21.23,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,,valid_k,
11,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO Zr:HfO2 ALD 120C chamber; PMA 700C N2 30s; Pr=13.2 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,120,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,700.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,32.0,,,,,,,13.2,,,,,,,,,,stable,,,,,,,,,,,,valid_k,
12,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO Zr:HfO2 ALD 200C chamber; PMA 700C N2 30s; 2Pr=26.37 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,200,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,700.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,35.0,,,,,,,13.2,1.1,,,,,,,,,stable,,,,,,,,,,,,valid_k,
13,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO ALD 250C chamber; PMA 700C N2 30s; 2Pr=31.8 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,250,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,700.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,38.0,,,,,,,15.9,1.1,,,,,,,,,stable,,,,,,,,,,,,valid_k,
14,Le Rhun,2021,Applied Surface Science,10.1016/j.apsusc.2021.151592,HZO 6nm ALD TiN cap; 300C deposition; PDA 400C; 2Pr=51.2 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,6.0,300,TEMAH+TEMAZr,O3,60,,,,,,50,,1.0,400.0,30s,N2,50.0,12000.0,400.0,TiN_ALD,,,,Si,(100),SiO2,0.3,TiN,10.0,p-type,1000000000000000.0,6.0,,,30.0,,,,,,,25.6,1.2,,,,,,,,,stable,,,,,,,,,,,,valid_k,
15,Liu,2025,Materials Today Physics,10.1016/j.mtphys.2025.101729,HZO TiN/O2-plasma/HZO/TiN; optimal 3-cycle O2 plasma; record Pr,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,250,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,400.0,30s,N2+O2_plasma,50.0,12000.0,400.0,TiN,,,,Si,(100),SiO2,0.3,TiN,10.0,p-type,1000000000000000.0,10.0,,,35.9,,,,,,,26.84,1.02,,,,,,,,,stable,,,,,,,,,,,,valid_k,
16,Nukala,2022,Nanoscale Advances,10.1039/D2NA00533F,HZO 20nm Pt top / Ni bottom; 650C 30s anneal,Hf0.5Zr0.5O2,Zr,50,orthorhombic,20.0,250,TEMAH+TEMAZr,O3,200,,,,,,50,,1.0,650.0,30s,N2,50.0,19500.0,,Pt,,,,Si,(100),SiO2,0.5,Pt,30.0,p-type,1000000000000000.0,20.0,,,28.0,,,,,,,19.0,1.07,,,,,,,,,stable,,,,,,,,,,,,valid_k,
17,Zhao,2023,Journal of Alloys and Compounds,10.1016/j.jallcom.2023.172394,HfO2/ZrO2/HfO2 trilayer; PMA 300C; k=39; 2Pr~43 uC/cm2,HfO2/ZrO2/HfO2,Zr,50,orthorhombic,10.0,250,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,300.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,39.0,,,,,,,21.5,1.1,,,,,,,,,stable,,,,,,,,,,,,valid_k,
18,Kang,2019,Microelectronic Engineering,10.1016/j.mee.2019.05.003,HZO PEALD 300C; ferroelectric o-phase without PDA,Hf0.5Zr0.5O2,Zr,50,orthorhombic+tetragonal+cubic,8.0,300,TEMAH+TEMAZr,O2_plasma,80,,,,,,50,100.0,1.1,,,,,,,TiN,,,,Si,(100),SiO2,0.3,TiN,10.0,p-type,1000000000000000.0,8.0,,,28.0,,,,,,,10.0,1.3,,,,,,,,,stable,,,,,,,,,,,,valid_k,
19,Zhu,2010,Applied Surface Science,10.1016/j.apsusc.2009.11.074,La-doped HfO2 MOCVD; k=28; EOT~1.2nm; high Jg; stable to 750C,HfLaO,La,5,amorphous,8.0,450,Hf(thd)4+La(thd)3,O2,,,,,,,10,,,750.0,30s,N2,50.0,22500.0,,TaN,,,,Si,(100),HfSiO,0.5,TaN,30.0,p-type,1000000000000000.0,8.0,1.2,,28.0,,,,,,,,,3.0,,,,,0.5,,,stable,,,,,,0.5,,,,,,valid_k,
20,Cheng,2021,ACS Applied Electronic Materials,10.1021/acsaelm.1c00672,La:HfO2 epitaxial; 2-5% La; highest Pr>20 uC/cm2; Ec reduces with La,HfLaO,La,3.5,orthorhombic,10.0,300,TEMAH+La_precursor,H2O,100,,,,,,7,,1.0,600.0,30s,N2,50.0,18000.0,,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,25.0,,,,,,,10.5,0.85,,,,,,,,,stable,,,,,,,,,,,,valid_k,
21,Park,2022,Ceramics International,10.1016/j.ceramint.2021.08.231,Y:HfO2 ALD; cocktail precursor; tetragonal phase; k~40 for DRAM,HfYO,Y,5,tetragonal,8.0,280,TEMAH+Y_precursor,O3,80,,,,,,10,,1.1,700.0,30s,N2,50.0,21000.0,,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,8.0,,,40.0,,,,,,,,,1e-7,,,,,,,,stable,,,,,,,,,,,,valid_k,
22,Kim,2023,Materials Today Advances,10.1016/j.mtadv.2023.100408,HfO2 novel precursor high-T ALD; Jg 3.1e-9 at 0.7V,HfO2,,0,tetragonal,8.0,400,Hf_novel_precursor,O3,80,2,20,5.0,20,1e-4,,,1.2,600.0,30s,N2,50.0,18000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,8.0,,,22.0,,,,,,,,,3.1e-9,8.5,,,,,,,stable,,,,,,,,,,,,valid_k,
23,Cho,2023,Micromachines,10.3390/mi14010163,HfO2 PEALD TDMAHf/O2-plasma; GPC=2.4 A/cycle; trench uniformity,HfO2,,0,monoclinic,20.0,250,TDMAHf,O2_plasma,200,0.5,30,60.0,30,1e-3,,200.0,2.4,500.0,30s,N2,50.0,15000.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,20.0,p-type,1000000000000000.0,20.0,1.5,,20.0,,,,,,,,,1e-7,7.0,,,,,,,stable,,,,,,,,,,,,valid_k,
