row_id,first_author,year,journal,doi,notes,material_system,dopant_element,dopant_concentration_at_pct,crystal_phase,film_thickness_nm,ald_substrate_temp_C,precursor_type_Hf,oxidant_type,ald_cycle_count,precursor_dose_time_s,purge_time_precursor_s,oxidant_dose_time_s,purge_time_oxidant_s,chamber_base_pressure_Torr,co_precursor_dopant_flow_pct,plasma_power_W,growth_rate_A_per_cycle,anneal_temp_PDA_C,anneal_duration,anneal_atmosphere,anneal_ramp_rate_C_per_s,thermal_budget_C_s,PMA_temp_C,electrode_cap_material,IL_SiO2_thickness_nm,film_stress_GPa,FGA_temp_C,substrate_material,substrate_orientation,IL_type,IL_thickness_nm,top_electrode_material,top_electrode_thickness_nm,substrate_doping_type,substrate_doping_cm3,total_physical_thickness_nm,EOT_nm,device_area_cm2,k_dielectric_constant,capacitance_density_fF_um2,V_fb_V,V_th_V,freq_dispersion_dk_df_pct,TCk_ppm_C,loss_tangent_tan_delta,remnant_polarization_Pr_uC_cm2,coercive_field_Ec_MV_cm,J_g_A_cm2_at_1V,E_BD_MV_cm,TDDB_lifetime_years,Weibull_beta,SILC_stable,Q_BD_C_cm2,trap_gen_rate_dNT_cm2,O_vacancy_density_cm3,phase_stability,D_it_cm2_eV,Q_f_cm2,Q_m_cm2,delta_EV_eV,delta_EC_eV,IL_oxide_thickness_nm,N_at_interface_at_pct,carrier_mobility_cm2_Vs,delta_Vth_mV,measured_property,measured_value
1,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 85C; amorphous phase,HfO2,,0,amorphous,100.0,85,TDMAH,H2O,,,,,,,,,1.6,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,19.8,185.0,-1.4,,,,,,,2e-6,1.0,,,,,,,stable,,1500000000000.0,,,,,,,,,
2,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 100C; polycrystalline monoclinic+orthorhombic,HfO2,,0,monoclinic+orthorhombic,100.0,100,TDMAH,H2O,,,,,,,,,1.5,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,20.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
3,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 200C; polycrystalline monoclinic dominant,HfO2,,0,monoclinic,100.0,200,TDMAH,H2O,,,,,,,,,1.3,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,22.5,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
4,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 300C; well-crystallized monoclinic,HfO2,,0,monoclinic,100.0,300,TDMAH,H2O,,,,,,,,,1.2,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,25.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
5,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 350C; highly crystalline monoclinic; highest k,HfO2,,0,monoclinic,100.0,350,TDMAH,H2O,,,,,,,,,1.2,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,30.5,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
6,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/NH3-H2O 300C; N-incorporation enhances k,HfO2,,0,monoclinic,100.0,300,TDMAH,NH3_H2O,,,,,,,,,1.2,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,28.0,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
7,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,Al2O3/HfO2/Al2O3 5/90/5nm nanolaminate; improved leakage,HfO2/Al2O3_nanolaminate,,0,amorphous,100.0,85,TDMAH,H2O,,,,,,,,,,,,N2,,,,,,,,Si,(100),native SiO2,0.5,Ni,,p-type,1000000000000000.0,100.0,,,19.0,160.0,1.9,,,,,,,1e-8,4.0,,,,,,,stable,,-2000000000000.0,,,,,,,,,
8,Zhang,2021,Atlantis Press Proc,,HfAlO ALD annealed at 650C N2; Al:Hf~1:9,HfAlO,Al,10,tetragonal+amorphous,10.0,300,TEMAH+TMA,H2O,100,,,,,,10,,1.0,650.0,30s,N2,50.0,32500.0,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,0.84,,23.5,,,,,,,,,6.8e-10,,,,,,,,stable,1250000000000.0,,,,,0.5,,,,,
9,Wang,2019,MDPI Micromachines,10.3390/mi10060361,Pure HfO2 reference; before Al doping,HfO2,,0,monoclinic,10.0,300,TEMAH,H2O,100,,,,,,0,,1.0,600.0,30s,N2,,,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,,,16.64,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
10,Wang,2019,MDPI Micromachines,10.3390/mi10060361,HfAlO Al:Hf=1:9; tetragonal phase stabilized; highest k,HfAlO,Al,10,tetragonal,10.0,300,TEMAH+TMA,H2O,90+10,,,,,,10,,1.0,600.0,30s,N2,,,,TiN,0.5,,,Si,(100),SiO2,0.5,TiN,30.0,p-type,1000000000000000.0,10.0,,,21.23,,,,,,,,,,,,,,,,,stable,,,,,,,,,,,
11,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO Zr:HfO2 ALD 120C chamber; PMA 700C N2 30s; Pr=13.2 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,120,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,700.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,32.0,,,,,,,13.2,,,,,,,,,,stable,,,,,,,,,,,
12,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO Zr:HfO2 ALD 200C chamber; PMA 700C N2 30s; 2Pr=26.37 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,200,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,700.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,35.0,,,,,,,13.2,1.1,,,,,,,,,stable,,,,,,,,,,,
13,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO ALD 250C chamber; PMA 700C N2 30s; 2Pr=31.8 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,10.0,250,TEMAH+TEMAZr,O3,100,,,,,,50,,1.0,,,,,,700.0,TiN,,,,Si,(100),SiO2,0.5,TiN,10.0,p-type,1000000000000000.0,10.0,,,38.0,,,,,,,15.9,1.1,,,,,,,,,stable,,,,,,,,,,,
