row_id,first_author,year,journal,doi,notes,material_system,dopant_element,dopant_concentration_at_pct,crystal_phase,k_dielectric_constant,band_gap_eV,ald_substrate_temp_C,precursor_type_Hf,oxidant_type,ald_cycle_count,growth_rate_A_per_cycle,film_thickness_nm,anneal_temp_PDA_C,anneal_atmosphere,anneal_duration,substrate_material,IL_type,IL_thickness_nm,top_electrode_material,data_quality,data_split_policy,source_db
1,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 85C; amorphous phase,HfO2,,0,amorphous,19.8,,85,TDMAH,H2O,,1.6,100.0,,N2,,Si,native SiO2,0.5,Ni,verified,train_val_test_allowed,trusted_v3_original
2,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 100C; polycrystalline monoclinic+orthorhombic,HfO2,,0,monoclinic+orthorhombic,20.0,,100,TDMAH,H2O,,1.5,100.0,,N2,,Si,native SiO2,0.5,Ni,verified,train_val_test_allowed,trusted_v3_original
3,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 200C; polycrystalline monoclinic dominant,HfO2,,0,monoclinic,22.5,,200,TDMAH,H2O,,1.3,100.0,,N2,,Si,native SiO2,0.5,Ni,verified,train_val_test_allowed,trusted_v3_original
4,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 300C; well-crystallized monoclinic,HfO2,,0,monoclinic,25.0,,300,TDMAH,H2O,,1.2,100.0,,N2,,Si,native SiO2,0.5,Ni,verified,train_val_test_allowed,trusted_v3_original
5,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/H2O 350C; highly crystalline monoclinic; highest k,HfO2,,0,monoclinic,30.5,,350,TDMAH,H2O,,1.2,100.0,,N2,,Si,native SiO2,0.5,Ni,verified,train_val_test_allowed,trusted_v3_original
6,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,HfO2 TDMAH/NH3-H2O 300C; N-incorporation enhances k,HfO2,,0,monoclinic,28.0,,300,TDMAH,NH3_H2O,,1.2,100.0,,N2,,Si,native SiO2,0.5,Ni,verified,train_val_test_allowed,trusted_v3_original
7,Gieraltowska,2023,MDPI Materials,10.3390/ma16114077,Al2O3/HfO2/Al2O3 5/90/5nm nanolaminate; improved leakage,HfO2/Al2O3_nanolaminate,,0,amorphous,19.0,,85,TDMAH,H2O,,,100.0,,N2,,Si,native SiO2,0.5,Ni,verified,train_val_test_allowed,trusted_v3_original
8,Zhang,2021,Atlantis Press Proc,,HfAlO ALD annealed at 650C N2; Al:Hf~1:9,HfAlO,Al,10,tetragonal+amorphous,23.5,,300,TEMAH+TMA,H2O,100,1.0,10.0,650.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
9,Wang,2019,MDPI Micromachines,10.3390/mi10060361,Pure HfO2 reference; before Al doping,HfO2,,0,monoclinic,16.64,,300,TEMAH,H2O,100,1.0,10.0,600.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
10,Wang,2019,MDPI Micromachines,10.3390/mi10060361,HfAlO Al:Hf=1:9; tetragonal phase stabilized; highest k,HfAlO,Al,10,tetragonal,21.23,,300,TEMAH+TMA,H2O,90+10,1.0,10.0,600.0,N2,30s,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
11,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO Zr:HfO2 ALD 120C chamber; PMA 700C N2 30s; Pr=13.2 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,32.0,,120,TEMAH+TEMAZr,O3,100,1.0,10.0,,,,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
12,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO Zr:HfO2 ALD 200C chamber; PMA 700C N2 30s; 2Pr=26.37 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,35.0,,200,TEMAH+TEMAZr,O3,100,1.0,10.0,,,,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
13,Materano,2022,Nanomaterials,10.3390/nano12111729,HZO ALD 250C chamber; PMA 700C N2 30s; 2Pr=31.8 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,38.0,,250,TEMAH+TEMAZr,O3,100,1.0,10.0,,,,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
14,Le Rhun,2021,Applied Surface Science,10.1016/j.apsusc.2021.151592,HZO 6nm ALD TiN cap; 300C deposition; PDA 400C; 2Pr=51.2 uC/cm2,Hf0.5Zr0.5O2,Zr,50,orthorhombic,30.0,,300,TEMAH+TEMAZr,O3,60,1.0,6.0,400.0,N2,30s,Si,SiO2,0.3,TiN,verified,train_val_test_allowed,trusted_v3_original
15,Liu,2025,Materials Today Physics,10.1016/j.mtphys.2025.101729,HZO TiN/O2-plasma/HZO/TiN; optimal 3-cycle O2 plasma; record Pr,Hf0.5Zr0.5O2,Zr,50,orthorhombic,35.9,,250,TEMAH+TEMAZr,O3,100,1.0,10.0,400.0,N2+O2_plasma,30s,Si,SiO2,0.3,TiN,verified,train_val_test_allowed,trusted_v3_original
16,Nukala,2022,Nanoscale Advances,10.1039/D2NA00533F,HZO 20nm Pt top / Ni bottom; 650C 30s anneal,Hf0.5Zr0.5O2,Zr,50,orthorhombic,28.0,,250,TEMAH+TEMAZr,O3,200,1.0,20.0,650.0,N2,30s,Si,SiO2,0.5,Pt,verified,train_val_test_allowed,trusted_v3_original
17,Zhao,2023,Journal of Alloys and Compounds,10.1016/j.jallcom.2023.172394,HfO2/ZrO2/HfO2 trilayer; PMA 300C; k=39; 2Pr~43 uC/cm2,HfO2/ZrO2/HfO2,Zr,50,orthorhombic,39.0,,250,TEMAH+TEMAZr,O3,100,1.0,10.0,,,,Si,SiO2,0.5,TiN,verified,train_val_test_allowed,trusted_v3_original
